,Birthplace,DOB,Name,credits,wins,age
498,"Richmond, California, USA",1949-4-11,Carl Franklin,25,"Nominated for
        1
        Primetime Emmy.",66.6173853525
499,"Worcester, Massachusetts, USA",1912-8-12,Samuel Fuller,32,7 wins & 4 nominations.,103.279945243
500,"Madrid, Spain",1976-12-8,Jorge Dorado,12,2 wins & 4 nominations.,38.9568788501
501,"Los Angeles, California, USA",1896-12-5,Stuart Heisler,41,0,118.962354552
502,"Melun, Seine-et-Marne, France",1945-8-28,Bruno Nuytten,5 ,"Won
        1
        BAFTA Film Award.",70.2368240931
503,"Louisville, Kentucky, USA",1965-5-6,Stephen Gaghan,5 ,"Won
        1
        Oscar.",50.5489390828
504,"Chiyoda, Tokyo, Japan",1927-1-28,Hiroshi Teshigahara,21,"Nominated for
        1
        Oscar.",88.8186173854
505,"Savonlinna, Finland",1943-7-10,Tuija-Maija Niskanen,21,0,72.372347707
506,"The Bronx, New York City, New York, USA",1951-8-8,Martin Brest,9 ,"Nominated for
        2
        Oscars.",64.2929500342
507,"Broxburn, West Lothian, Scotland, UK",1957-10-15,Michael Caton-Jones,15,4 nominations.,58.1054072553
508,"Delaware, USA",1893-10-18,Roy Del Ruth,11,1 win & 2 nominations.,122.094455852
509,"Hong Kong, China",1950-1-1,Ronny Yu,21,4 wins & 4 nominations.,65.8918548939
510,"Providence, Rhode Island, USA",1985-1-19,Damien Chazelle,4 ,"Nominated for
        1
        Oscar.",30.841889117
511,"Whitehall, New York, USA",1915-9-22,Vincent J. Donehue,19,3 nominations.,100.169746749
512,"Chicago, Illinois, USA",1913-8-13,Melvin Frank,17,"Nominated for
        5
        Oscars.",102.277891855
513,"Bekesbourne, Kent, England, UK",1905-9-30,Michael Powell,60,"Nominated for
        1
        Oscar.",110.146475017
514,"Paris, France",1937-10-30,Claude Lelouch,59,"Won
        1
        Oscar.",78.0643394935
515,"Yorkville, Manhattan, New York City, New York, USA",1948-3-14,Billy Crystal,7 ,"Nominated for
        3
        Golden Globes.",67.6933607118
516,"Flushing, Queens, New York City, New York, USA",1952-1-28,Richard Glatzer,5 ,7 wins & 4 nominations.,63.819301848
517,"Columbus, Georgia, USA",1897-12-5,Nunnally Johnson,8 ,"Nominated for
        2
        Oscars.",117.963039014
518,"Newark, New Jersey, USA",1940-9-11,Brian De Palma,39,10 wins & 21 nominations.,75.1978097194
519,"Luton, Bedfordshire, England, UK",1939-8-25,John Badham,64,"Nominated for
        2
        Primetime Emmys.",76.2464065708
520,"Metz, Moselle, France",1948-4-18,Régis Wargnier,12,"Nominated for
        1
        BAFTA Film Award.",67.5975359343
521,"Philadelphia, Pennsylvania, USA",1914-3-7,Morton DaCosta,4 ,"Nominated for
        1
        Oscar.",101.713894593
522,"Copenhagen, Denmark",1956-4-30,Lars von Trier,35,"Nominated for
        1
        Oscar.",59.5646817248
523,"San Jose, California, USA",1889-12-4,Lloyd Bacon,13,1 win & 2 nominations.,125.965776865
524,"Austin, Texas, USA",1960-3-18,Steve Kloves,2 ,"Nominated for
        1
        Oscar.",55.6824093087
525,"Los Angeles County, California, USA",1968-8-13,Joshua Marston,16,27 wins & 15 nominations.,47.2772073922
526,"Lidingö, Stockholms län, Sweden",1965-4-1,Tomas Alfredson,25,"Nominated for
        1
        BAFTA Film Award.",50.6447638604
527,"Harrisburg, Pennsylvania, USA",1967-9-8,Kimberly Peirce,9 ,15 wins & 13 nominations.,48.2080766598
528,"Wellington, New Zealand",1967-1-1,Andrew Dominik,4 ,7 wins & 10 nominations.,48.8925393566
529,"New York City, New York, USA",1938-5-22,Richard Benjamin,22,"Won
        1
        Golden Globe.",77.5058179329
530,"Louisville, Kentucky, USA",1887-11-23,Hobart Henley,57,0,127.997262149
531,"New York City, New York, USA",1932-1-1,Lewis John Carlino,3 ,"Nominated for
        1
        Oscar.",83.8932238193
532,"London, England, UK",1944-9-22,Brian Gibson,16,"Won
        1
        Primetime Emmy.",71.1676933607
